"Date","post_url","tags","summary"
"2014-06-19 16:00:53 GMT","http://pitchersandpoets.tumblr.com/post/89267951369/claytonia","clayton kershaw, dodgers, Vin Scully","Claytonia"
"2014-03-28 16:35:31 GMT","http://pitchersandpoets.tumblr.com/post/80983810925","None","None"
"2014-03-27 15:19:04 GMT","http://pitchersandpoets.tumblr.com/post/80881590583/dadsknow","advice, baseball","#dadsknow"
"2014-03-25 14:34:34 GMT","http://pitchersandpoets.tumblr.com/post/80678262125/strike-the-ball","Jose Altuve, bo porter, defense","Strike the Ball"
"2014-03-12 14:21:29 GMT","http://pitchersandpoets.tumblr.com/post/79360172811/barry-bonds-describes-hunter-pence","Barry Bonds, hunter pence","Barry Bonds Describes Hunter Pence"
"2014-01-30 16:38:00 GMT","http://pitchersandpoets.tumblr.com/post/75056119533/on-lance","lance berkman","On Lance"
"2014-01-27 16:58:33 GMT","http://pitchersandpoets.tumblr.com/post/74734095287/this-is-a-different-sport-but-i-dont-care-friend","None","my favorite NBA play ever [dot] gif"
"2013-12-07 14:13:47 GMT","http://pitchersandpoets.tumblr.com/post/69267373628/souvenir-by-jim-daniels","None","Souvenir, by Jim Daniels"
"2013-06-30 17:25:09 GMT","http://pitchersandpoets.tumblr.com/post/54270368774/psa","None","PSA"
"2013-05-29 22:08:37 GMT","http://pitchersandpoets.tumblr.com/post/51672576432/one-year","None","One Year"
"2013-05-16 14:41:32 GMT","http://pitchersandpoets.tumblr.com/post/50578313231/basia-bulat-covers-bruce-springsteen","None","Basia Bulat covers Bruce Springsteen"
"2013-05-15 14:43:00 GMT","http://pitchersandpoets.tumblr.com/post/50497743265/randy-bass-and-the-colonels-curse-from-tofugu","None","Randy Bass and the Colonel's Curse, from Tofugu"
"2013-04-11 15:02:06 GMT","http://pitchersandpoets.tumblr.com/post/47703366320/the-pete-and-ted-show-episode-one","baseball, sports, podcast","The Pete and Ted Show, episode one."
"2013-02-27 15:04:19 GMT","http://pitchersandpoets.tumblr.com/post/44141700484/so-whats-the-fixation-with-paul-sorrento-anyway","None","So what’s the fixation with Paul Sorrento anyway? — armyofsteamrollers

 
..."
"2013-02-13 18:05:12 GMT","http://pitchersandpoets.tumblr.com/post/43012161763/badspringtrainingtwitpics-whats-steve","None","What’s Steve Gilbert’s threshold for sharing a twitpic? Honest question. Because I’ll tell you what it’s not. It’s not “my..."
"2012-08-24 17:28:39 GMT","http://pitchersandpoets.tumblr.com/post/30110834320/mike-trouts-80s-ancestors","None","Mike Trout's 80s Ancestors"
"2012-06-26 01:32:13 GMT","http://pitchersandpoets.tumblr.com/post/25895013676/dear-frank-deford","None","Dear Frank Deford,"
"2012-06-21 02:00:30 GMT","http://pitchersandpoets.tumblr.com/post/25546294355/list-players-who-have-been-traded-for-ted-lilly","None","List: Players Who Have Been Traded for Ted Lilly"
"2012-06-14 21:12:00 GMT","http://pitchersandpoets.tumblr.com/post/25112919631/jose-canseco-iv","None","Jose Canseco IV"
"2012-06-14 18:55:01 GMT","http://pitchersandpoets.tumblr.com/post/25104109343/the-greatest-names-of-the-2012-draft","None","The Greatest Names of the 2012 Draft"
